Date,Adj Close,Close,High,Low,Open,Volume,RSI,Signal
2024-05-06,22442.69921875,22442.69921875,22588.80078125,22409.44921875,22561.599609375,320300,47.82012582666029,0
2024-05-07,22302.5,22302.5,22499.05078125,22232.05078125,22489.75,297800,50.907659797762044,0
2024-05-08,22302.5,22302.5,22368.650390625,22185.19921875,22231.19921875,277400,55.058881274949286,0
2024-05-09,21957.5,21957.5,22307.75,21932.400390625,22224.80078125,331300,48.885801933206,0
2024-05-10,22055.19921875,22055.19921875,22131.30078125,21950.30078125,21990.94921875,265800,47.24735288605697,0
2024-05-13,22104.05078125,22104.05078125,22131.650390625,21821.05078125,22027.94921875,278200,42.3917144943905,0
2024-05-14,22217.849609375,22217.849609375,22270.05078125,22081.25,22112.900390625,230200,45.33448236100912,0
2024-05-15,22200.55078125,22200.55078125,22297.55078125,22151.75,22255.599609375,231900,43.66069665046882,0
2024-05-16,22403.849609375,22403.849609375,22432.25,22054.55078125,22319.19921875,368900,44.88447339743743,0
2024-05-17,22466.099609375,22466.099609375,22502.150390625,22345.650390625,22415.25,242700,51.49912129882818,0
2024-05-21,22529.05078125,22529.05078125,22591.099609375,22404.55078125,22404.55078125,347600,45.85313612468286,0
2024-05-22,22597.80078125,22597.80078125,22629.5,22483.150390625,22576.599609375,290300,49.749854792405124,0
2024-05-23,22967.650390625,22967.650390625,22993.599609375,22577.44921875,22614.099609375,369800,59.203713019765935,0
2024-05-24,22957.099609375,22957.099609375,23026.400390625,22908.0,22930.75,261900,65.29089943254877,0
2024-05-27,22932.44921875,22932.44921875,23110.80078125,22871.19921875,23038.94921875,260000,65.6454809098578,0
2024-05-28,22888.150390625,22888.150390625,22998.55078125,22858.5,22977.150390625,217900,69.93027630258356,0
2024-05-29,22704.69921875,22704.69921875,22825.5,22685.44921875,22762.75,269900,62.16794968458323,0
2024-05-30,22488.650390625,22488.650390625,22705.75,22417.0,22617.44921875,373400,67.42907535515197,0
2024-05-31,22530.69921875,22530.69921875,22653.75,22465.099609375,22568.099609375,572100,66.19442677997941,0
2024-06-03,23263.900390625,23263.900390625,23338.69921875,23062.30078125,23337.900390625,569400,76.94257898667306,1
